claim,label,claim_id
"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",False,averitec_24
"Amy Coney Barrett was confirmed as US Supreme Court Justice on October 26, 2020",True,averitec_25
The New York post Endorsed Donald trumps bid for re-election.,True,averitec_26
"The United States, New Zealand, U.K., Australia, and the EU have not included the NDF in their official list of terrorist groups.",True,averitec_27
COVID-19 pandemic pre-planned with the help from Bill Gates.,False,averitec_28
Speaker Robin Vos lost a Republican-held seat in the 2018 election for the first time.,True,averitec_29
Breitbart News reports that the daughter of Delaware Democratic Senator Chris Coons and seven other underage girls were featured on Hunter Biden's laptop.,False,averitec_30
"Hunter Biden, son of US President Joe Biden has died.",False,averitec_31
5G causes COVID-19.,False,averitec_32
Rock musician Jon Bon Jovi performed for 12 people and 7 pumpkins at a campaign event for Democratic presidential nominee Joe Biden in Pennsylvania.,False,averitec_33
Wearing face masks can cause infections from bacteria such as staphylococcus.,False,averitec_34
An 'anti-Black Lives Matter' flag replaced the American flag behind President Trump during a Waukesha campaign rally.,True,averitec_35
Deliberately infecting children to COVID-19 at “pox parties” could be a good way to help create herd immunity against COVID-19 without a vaccine.,False,averitec_36
Cutting the umbilical cord straight away deliberately denies the baby natural immunity so that medical professionals have a reason to vaccinate and medicate them.,False,averitec_37
The umbilical cord should not be cut until 1 hour after birth or they baby will not have enough blood right after birth.,False,averitec_38
99% of people recover from COVID-19.,False,averitec_39
The US saw the best carbon emission numbers in 35 years under President Donald Trump's administration.,False,averitec_40
People who do not vote for the Bharatiya Janata Party (BJP) in the 2020 elections will not get the COVID vaccine free of cost.,False,averitec_41
President Ferdinand Marcos and Dr. Jose Rizal established and founded the WORLD BANK and International Monetary Fund.,False,averitec_42
The FBI is in possession of the president of the US's son  Hunter Biden's laptop.,True,averitec_43
India’s imports from China increased by 27% in April-August 2020,False,averitec_44
Generally the deaths from Covid-19 are still pretty flat because we've flattened the curve.,False,averitec_45
Previous flu vaccines may have made President Donald Trump susceptible to COVID-19,False,averitec_46
"While serving as Town Supervisor on Grand Island, Nebraska, US Nate McMurray voted to raise taxes on homeowners.",True,averitec_47
The large image of the Joe Biden and Kamala Harris logo projected onto a Harley-Davidson location in Milwaukee US indicates the motorcycle manufacturer's endorsement of the US Democratic presidential nominee.,False,averitec_48
Scientific American magazine warned that 5G technology is not safe.,False,averitec_49
Officer who wore Trump 2020 mask to polls to face disciplinary action,True,averitec_50
"Eric Trump, Donald J. Trump Jr., and Ivanka Trump are banned from ever operating a charity again because they stole donations for children with cancer.",False,averitec_51
"Someone who couldn't afford health care under Barack Obama's Affordable Care Act gets penalized $10,000",False,averitec_52
Hunter Biden was chairman of the Nobel Peace Prize winning World Food Program.,True,averitec_53
National Testing Agency (NTA) has made a major blunder in NEET Exam Result 2020. They stated that the all India topper had failed.,False,averitec_54
White House coronavirus adviser Dr. Anthony Fauci wrote a 2008 paper that found most 1918-1919 Spanish Influenza pandemic deaths were because of bacterial pneumonia from wearing masks.,False,averitec_55
Dr Anthony Fauci wrote a paper regarding the Spanish Flu and stated that the majority of deaths in 1918-1919 was because of bacterial pneumonia from wearing masks.,False,averitec_56
India's imports from China increased by 27% during the period April-August 2020.,False,averitec_57
The daughter of Muahammadu Buhari (the President of Nigeria) is a board member of the Nigerian National Petroleum Corporation (NNPC).,False,averitec_58
"The Iowa Farm Bureau, US says that it would no longer be endorsing US Republican Iowa Sen. Joni Ernst for her re-election",False,averitec_59
Joe and Jill Biden's income has increased recently.,True,averitec_60
A third of excess deaths in the United States between 1 March and  1 August 2020 during the COVID-19 pandemic could not be directly attributed to the coronavirus,True,averitec_61
"Prominent US Democrat party members including Hillary and Bill Clinton, were running a child sex-trafficking ring in the basement of a Washington, D.C., pizzeria.",False,averitec_62
Anthony Weiner’s laptop contained proof Hillary Clinton & her associates are involved in child trafficking & paedophilia,False,averitec_63
"“Red-tagging” is a term invented by the Communist Party of the Philippines, the New People's Army, and the National Democratic Front (CPP-NPA-NDF).",False,averitec_64
"Pennsylvania US rejects 372,000 mail-in ballots.",False,averitec_65
It's unclear how Joe Biden acquired his recent wealth since leaving office in 2017,False,averitec_66
India's Congress party candidate Maskoor Usmani installed Jinnah's portrait at AMU.,False,averitec_67
"Donald Trump Jr. said, “My father doesn’t need to rape women. It’s more likely a woman would rape him. That’s how popular he is.”",False,averitec_68
"Hyderabad Metropolitan Water Supply and Sewerage Board (HMWSSB) is delivering 1kg bleaching powder, chlorine tablets to people’s doorsteps",True,averitec_69
A man who received four ballot applications votes four times in the 2020 election.,False,averitec_70
"Most deaths in the 1918 influenza pandemic originated from bacterial pneumonia caused by face masks and that Dr Anthony Fauci, the US government’s top expert in the fight against Covid-19, knew about it.",False,averitec_71
"BJP MP Kirron Kher Said ""Rape Is A Part Of Indian Culture And It Can't Be Stopped""",False,averitec_72
"A message will be sent to your phone claiming to show that the Covid19 curve is flattening in India, But It will contain a malicious file",False,averitec_73
US Sen Kamala Harris failed the bar exam  (qualifying examination for lawyers)on her first attempt,True,averitec_74
US Judge Amy Coney Barrett graduated at the top of her law school class at Notre Dame Law School,True,averitec_75
"Saved by the Bell actor, Dustin Diamond died in a prison riot.",False,averitec_76
Controversial abortion methods are allowed under New Zealand's Abortion Legislation Act (2020).,False,averitec_77
"Commission on Human Rights (CHR) Chairman Chito Gascon called a “surprise military attack” by the Philippine Army,  conducted on members of the New People’s Army (NPA) a “violation of human rights.”",False,averitec_78
IMAGE CLAIMS DONALD TRUMP CURRENTLY FACES A COURT CASE FOR ALLEGEDLY SEXUALLY ASSAULTING A 13-YEAR-OLD,False,averitec_79
The iPhone 12 won’t come with earphones and a charging adapter.,True,averitec_80
New Zealand's Abortion Legislation Act (2020) does not make it a legal requirement that babies born alive after an abortion are given medical support.,False,averitec_81
Kanye West was ahead of Biden and Trump in the Kentucky polls in October 2020,False,averitec_82
"Former President Donald Trump who lost the popular vote by 3 million has nominated a full third of The United Supreme Court, as of 13th October 2020.",True,averitec_83
"Amy Coney Barrett's nomination to the Supreme Court would be confirmed in October 2020, by a Senate majority that represents 15 million fewer people than the minority party.",True,averitec_84
"President Trump said Anthony Fauci said, “This is not a threat. This is not a problem. Don’t worry about it.” when talking about the pandemic",False,averitec_85
"Amy Coney Barrett, associate justice of the Supreme Court of the United States,  said during her Supreme Court confirmation hearing that she was not using notes because she has seven kids and is used to stupid questions.",False,averitec_86
Anthony Fauci the NIAID director is a democrat.,False,averitec_87
CNN announces on social media that President Donald Trump dies from COVID-19.,False,averitec_88
18-year-old man was recently killed by Trinamool Congress workers in West Bengal for supporting BJP,False,averitec_89
Fact check: Harris' statement on Lincoln's Supreme Court nomination misses key details,True,averitec_90
Daughters of President Muhammadu Buhari and Vice President Yemi Osinbajo brought about the dissolution of Special Anti-Robbery Squad (SARS).,False,averitec_91
The Median White Household Wealth In The US Is 81 Times that of The Black Median Household Wealth,False,averitec_92
Congress MP Rahul Gandhi has been listed as the seventh most educated leader by Forbes.,True,averitec_93
Donald Trump is facing a court case for raping a teen in 1994,False,averitec_94
"Joe Biden said “You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!”",False,averitec_95
NASA always receives blessings from the Pope and that God’s permission must be sought before a space mission.,False,averitec_96
Most Arab citizens support normalization with Israel.,False,averitec_97
The PHE has began to combine Covid-19 and influenza statistics to make the numbers look worse.,False,averitec_98
A law called The Flora and Fauna Act classified aboriginal people as animals until Australian voters overturned it in the 1960s.,False,averitec_99
"Robert E. Lee, commander of the Confederate States Army during the American Civil War, was not a slave owner.",False,averitec_100
"A BLM or antifa activist shot and killed a patriot at a protest in Denver, Colorado on October 10, 2020.",False,averitec_101
From 8th October the UK government will combine weekly flu and covid reports.,True,averitec_102
PTFE Sprayed On Blue Masks Causes Symptoms Similar To COVID-19,False,averitec_103
The gross domestic product  (GDP) figure in Nigeria for 2020 has decreased from the figure for 2019.,True,averitec_104
"Ulysses S. Grant, commander of the Union Army during the American Civil War, was a slave owner.",True,averitec_105
"Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",False,averitec_106
Joe Biden proposed a US wide 2% property tax increase.,False,averitec_107
US Democratic presidential nominee Joe Biden was endorsed by Black Lives Matter and Antifa,False,averitec_108
"Kirron Kher, BJP’s Chandigarh MP, said “Rape is part of Indian culture and tradition. We cannot stop it!”",False,averitec_109
We do not know where Covid-19 places among causes of death because the data is not published.,False,averitec_110
Swiss Squash player Ambre Allinckx’s refuses to play in India due to safety reasons,False,averitec_111
"Labour reversed the 4,400 health health worker cuts by the LNP.",True,averitec_112
"WHO ( World Health Organization) approved water, salt and vinegar remedy for coronavirus",False,averitec_113
Forty percent of Iowa’s energy resources are from renewables.,True,averitec_114
it is unknown whether a person under 20 can pass the disease to an older adult.,False,averitec_115
Fly swatters are now available on Joe Biden's online store.,True,averitec_116
A campaign ad video for John Cornyn says that his plan would guarantee insurers must sell plans to any patient with preexisting conditions and will be covered in his plan.,False,averitec_117
Charlotta Bass was the first Black woman to run for vice president in 1952,True,averitec_118
"China seek for court’s approval to kill the over 20,000 coronavirus patients to avoid further spread of the virus.",False,averitec_119
Nigeria’s Ngozi Okonjo-Iweala has been appointed the new and first female Director-General of the World Trade Organisation (WTO).,True,averitec_120
"When Joe Biden was US vice-president they took a month to act on information that might have saved Kayla Mueller, a humanitarian worker held hostage and sexually abused by the Islamic State terrorist group",True,averitec_121
"Right after a time where we're going through a pandemic that lost 22 million jobs at the height, we've already added back 11.6 million jobs.",True,averitec_122
"Because of a so-called trade war with China, America lost 300,000 manufacturing jobs.",True,averitec_123
They [the Democrats] want to ... ban fracking.,False,averitec_124
Zimbabwe gets more than half of the African Export Import Bank loans.,False,averitec_125
The Democrats want to shut down U.S. churches permanently.,False,averitec_126
"Over thirty million people... in the last several months had to file for unemployment.""",True,averitec_127
COVID-19 had caused zero deaths in people under 20.,False,averitec_128
Trump said 'there were fine people on both sides' in far-right protests.,True,averitec_129
"Vice president of the U.S Mike Pence said “When Joe Biden was vice president of the United States, the FBI actually spied on President Trump and my campaign.”",True,averitec_130
Richard A. Rothschild filed a patent for novel coronavirus tests in 2015.,False,averitec_131
"US President Donald Trump following his positive diagnosis of COVID-19, was given treatment developed from the use of fetal tissue, made by the company Regeneron.",True,averitec_132
U.S. mortalities this year are not materially different from the previous 5 years,False,averitec_133
President Donald  J Trump said it [coronavirus] was a hoax.,False,averitec_134
Documents show the CIA made a referral to the FBI documenting the allegation that U.S. Presidential candidate Hillary Clinton had approved a campaign plan to stir up a scandal against U.S. Presidential candidate Donald Trump by tying him to Putin and the Russians’ hacking of the Democratic National Committee.,True,averitec_135
The Democratic party has spent the last three and a half years trying to overturn the results of the last US election.,False,averitec_136
"The content of the conspiracy network, Radio Quebec, hosted by Alexis Cossette-Trudel is banned by Facebook.",True,averitec_137
OPCW scenario of the Navalny case is a fantastic story and a planned conspiracy scenario,False,averitec_138
In 1977 Senate Minority Leader Chuck Schumer had an affair with his daughter best friend from high school.,False,averitec_139
49 percent of Nigerians are in extreme poverty.,False,averitec_140
"During the Obama/Biden administration, 18,000 people got clemency.",False,averitec_141
People in the UK who are required to self-isolate due to having tested positive for the COVID-19 virus will receive a support payment of £500 per week,False,averitec_142
A Congressman Just Introduced A Bill To Remove Nancy Pelosi From The House.,False,averitec_143
U.S. President Donald Trump has departed Walter Reed hospital just a few days after testing positive for COVID-19.,True,averitec_144
All students in India who had to switch to an online mode of education due to the coronavirus pandemic are being provided free Android smartphones by the government.,False,averitec_145
Oxygen deprivation is caused by wearing face masks.,False,averitec_146
Carbon dioxide intoxication is caused by wearing face masks.,False,averitec_147
"Wearing face masks leads to permanent neurological damage, especially in children.",False,averitec_148
“Wisconsin Republicans have not passed a single bill in 6 months.”,True,averitec_149
Tax avoidance costs £90 billion per year.,False,averitec_150
President Trump is not on supplemental oxygen.,False,averitec_151
The PLAAF has shot down an Indian Sukhoi Su-30 fighter jet in Tibet.,False,averitec_152
Senate President Vicente Sotto III claimed that hardheaded Filipinos are to blame for the cases of coronavirus disease 2019 (COVID-19) in the country,False,averitec_153
"Dr. Ebeneezer, a medical doctor and a herbal practitioner at the Amuzu Hospital has instructed men to have sex at least 21 times a month to avoid prostate cancer.",False,averitec_154
The ex-Prime Minister of India Lal Bahadur Shastri took a loan to buy a car.,True,averitec_155
President Trump announces  he has tested positive for Covid-19.,True,averitec_156
The wife of  Lal Bahadur Shastri (ex Prime minister of India) repaid his car loan after his death.,True,averitec_157
President Trump's positive COVID-19 test result is a 'con',False,averitec_158
"US President Donald Trump's positive COVID-19 result is a false positive, which could allow an adversary in the White House to poison the president’s soda and later say that he suffered from COVID-19.",False,averitec_159
"The Democrats deliberately spread the COVID-19 virus to US President Donald Trump  during the first  US presidential debate on Sept. 29, 2020.",False,averitec_160
During a speech on 2nd October 2020 Joe Biden said he would create 550 million new jobs.,False,averitec_161
US President Donald Trump used a fabricated COVID-19 positive diagnosis to benefit his re election campaign.,False,averitec_162
Flu shots lead to severe or life-threatening conditions making them unsafe.,False,averitec_163
Two E-6B Mercury planes were deployed because of US President Trump's positive COVID-19 test.,False,averitec_164
"At independence, Nigeria had a population of 45 million",True,averitec_165
"Today, we grapple with multiple challenges with a population exceeding 200 million.",True,averitec_166
Video shared to make misleading claim that Hathras victim’s family did her last rites,False,averitec_167
Trade relations between the United States and Africa have declined significantly while Donald Trump was president of the US.,True,averitec_168
"Today, Nigeria grapple has a population exceeding 200 million.",True,averitec_169
"For a cumulative 29 of Nigeria's 60 years of existence as a nation, Nigeria has been under military rule.",True,averitec_170
Other Countries Have Proved that the U.S. FDA Was Wrong to Withdraw Approval Of Hydroxychloroquine as COVID Drug,False,averitec_171
"U.S. President Donald Trump and his wife, First Lady Melania Trump, have tested positive for COVID-19",True,averitec_172
"For a cumulative 29 of our 60 years of existence as a nation, we have been under military rule.",True,averitec_173
Nigeria’s urban population at independence was approximately 7 million.,True,averitec_174
"At independence, Nigeria had a population of 45 million.",True,averitec_175
Nigeria’s urban population at independence was approximately 7 million.,True,averitec_176
"At independence, Nigeria had a population of 45 million.",True,averitec_177
"At independence, Nigeria had a population of 45 million.",True,averitec_178
"For a cumulative 29 of our 60 years of existence as a nation, we have been under military rule.",True,averitec_179
"For a cumulative 29 of Nigeria's 60 years of existence as a nation, they have been under military rule",True,averitec_180
52% of Nigeria’s current population lives in urban areas,True,averitec_181
52% of Nigeria’s current population lives in urban areas.,True,averitec_182
52% of Nigeria’s current population lives in urban areas,True,averitec_183
Nigeria's current population exceeds 200 million.,True,averitec_184
52% of Nigeria’s current population lives in urban areas.,True,averitec_185
"For a cumulative 29 of Nigeria's 60 years of existence as a nation, it has been under military rule.’",True,averitec_186
Nigeria’s urban population at the time of independence was approximately 7 million,True,averitec_187
"Today, Nigeria grapples with multiple challenges with a population exceeding 200 million.",True,averitec_188
"At independence, Nigeria had a population of 45 million.",True,averitec_189
Potential voter fraud in the 2020 U.S Presidential Election is caused by mail-in ballots being sent in error to previous tenants in Washington DC.,False,averitec_190
Hindus are a minority in Kerala.,False,averitec_191
At independence in 1960  Nigeria had a population of 45 million.,True,averitec_192
"Judith Collins said, on Donald Trump, ""actually, he's a damn sight better than any of the other Presidents that have been there before him, including those that you admire, Miss Arden,""",False,averitec_193
Nigeria’s urban population at independence was approximately 7 million.,True,averitec_194
"Uttar Pradesh Chief Minister Yogi Adityanath said ‘our job is to save cows, not women.’",False,averitec_195
Kamala Harris called Joe Biden Trash.,False,averitec_196
"In England You can get a £3,000 fine for not wearing a cloth over your face at the time of this claim.",True,averitec_197
"Covid 19 Will Go Away If You Stop Getting Tested, It's Just The Elderly Dying and People Are Being Intentionally Infected",False,averitec_198
The number of police decline when National Party leader Judith Collins’ was police minister.,False,averitec_199
"Judith Collins, the National Party leader stated that New Zealand was using more coal to generate electricity because of the oil and gas exploration ban.",False,averitec_200
Democratic presidential nominee Joe Biden received the questions for the first presidential debate in advance.,False,averitec_201
"U.S. Centers for Disease Control and Prevention downgrades COVID-19, rating it less fatal than seasonal flu",False,averitec_202
Eating millets will protect you from Coronavirus.,False,averitec_203
Claims that there were links between Trumps 2016 election campaign and Russia were part of a hoax that Hilary Clinton was behind.,False,averitec_204
Potential voter fraud in the 2020 U.S Presidential Election is caused by mail-in ballots being sent to a mans  deceased parents in Mercer County in New Jersey.,False,averitec_205
A “new virus” disease called Novel Bunya V!rus that is caused by ticks is diagnosed as severe fever with thrombocytopenia syndrome (SFTS) is spreading in China.,False,averitec_206
There is more chance of an asteroid hitting Earth on 02/11/2020 than dying from COVID-19.,False,averitec_207
Sadiq Khan faked getting the flu jab as the plastic cap was still on the needle.,False,averitec_208
AARP endorsed President Biden and gave financial support to planned parenthood.,False,averitec_209
"Indian legendary singer Sripathi Panditaradhyula Balasubrahmanyam's family asked the Tamil Nadu government for help to pay the hospital bills after his death, but it was  Vice President Venkaiah Naidu's daughter who stepped in.",False,averitec_210
FAcebook meme shows real stats on Black v White Violence and Police shootings,False,averitec_211
"New Zealand opposition leader Judith Collins is opposed to new environmental legislation because of her connection to Oravida, a local water and dairy company that exports produce to China.",False,averitec_212
The Nigerian government is donating $600 million to Democratic presidential nominee Joe Biden’s campaign.,False,averitec_213
Olive Garden prohibits its employees from wearing face masks depicting the American flag.,False,averitec_214
"Amy Coney Barrett has a written track record, disagreeing adamantly with the U.S. Supreme Court’s decision to uphold the Affordable Care Act.",True,averitec_215
A child died in Germany from wearing a mask.,False,averitec_216
A Maryland man was sentenced to a year in jail for throwing parties.,True,averitec_217
A Supreme Court nominee has never been nominated and installed while a presidential election is already underway.,False,averitec_218
"Jo Biden the U.S Democratic Presidential nominee calls Donald Trump supporters the ""dregs of society"".",False,averitec_219
Distance between Gandhi and Green thread can determine if Rs 500 note is genuine or fake,False,averitec_220
Nigeria performed poorly in Sustainable Development Goals (SDGs) in the past five years.,True,averitec_221
"No news coverage was given to US President Donald Trump's executive order on September 24, 2020 guaranteed health coverage protections for those with preexisting conditions.",False,averitec_222
Donald Trump has not appoointed any black federal judges.,False,averitec_223
A mail-in ballot application for voting in the US presidential election which was sent to a deceased grandfather in the State of New Mexico is evidence of potential widespread voter fraud via mail-in ballots.,False,averitec_224
Raveer Singh requested Narcotics Control Bureau (NCB) to let him join anxiety-prone Actor Deepika Padukone during drug interrogation.,False,averitec_225
Pennsylvania ballots will be rejected without outer and inner envelopes.,True,averitec_226
"US President Donald Trump's executive order on September 24, 2020 legally ensures health coverage protections for those with pre existing medical conditions.",False,averitec_227
"House Speaker Nancy Pelosi said of US employers, “Employers cutting hours is a good thing. It then gives that person time to pursue their dreams and passions.”",False,averitec_228
False Facebook posts claim Philippine vice president demanded multi-billion dollar budget for her office in 2021,False,averitec_229
The State of Massachusetts committed voter fraud by deleting over one million ballot images during the 2020 Presidential Election.,False,averitec_230
"George Soros connected to U-Haul operated by antifa activists distributed “shields, weapons & black bloc” to protesters in Louisville, Ky.",False,averitec_231
Adani Logistics Limited has established a food silo in the aftermath of the three farm and agriculture-related bills passing Parliament.,False,averitec_232
"Shah Rukh Khan's Kolkata Knight Riders (KKR) is acquiring a 1.28 per cent stake in Reliance Retail at Rs 5,500 crore",False,averitec_233
"Due to coronavirus schools and colleges have been closed and because of this, the education of students has been affected. The government is providing free laptops to all the students so that they can complete their education and also give exams with the help of the internet",False,averitec_234
New York City Mayor Bill de Blasio officially ordered all police and citizens to stop sharing the booking photo of his daughter caught up during rioting,False,averitec_235
The Victorian Premier Daniel Andrews of the state of Victoria in Australia accepted a multi-million dollar bribe from the IMF conditional on Andrews locking down the state of Victoria unnecessarily during the COVID-19 pandemic.,False,averitec_236
Premier Daniel Andrews of the state of Victoria in Australia borrowed money from the IMF and now is in default.,False,averitec_237
False positives and rapid tests put the rate of infection near zero and that there will be no second wave of infections,False,averitec_238
Americans advised to reconsider travel to Ghana due to COVID-19.,True,averitec_239
Transitioning to 100 per cent renewable electricity generation increase power prices in New Zealand,False,averitec_240
Former US vice-president Joe Biden is showing pretty severe signs of dementia.,False,averitec_241
California Governor Gavin Newsom made it so that convicted sexual predators have lighter sentences.,False,averitec_242
U.S. Supreme Court Justice Ruth Bader Ginsburg is the first woman in American history to lie in state at the U.S. Capitol.,True,averitec_243
"Judge Amy Barret said ""gays have a right to be discriminated against because they are against Gods wishes and won't be allowed Heaven""",False,averitec_244
"Fact Check: WHO has not approved home remedy for COVID-19, don’t fall for misinformation",True,averitec_245
Basketball superstar Michael Jordan is joining NASCAR as a team owner.,True,averitec_246
"Ruth Bader Ginsburg waged an ""active campaign"" to repeal the Mann Act and to lower the age of consent for sex",False,averitec_247
30% to 40% of Americans will have voted by Oct. 1. 2020,False,averitec_248
The recently deceased US Supreme Court Justice Ruth Bader Ginsburg was known for her gruelling fitness regime.,True,averitec_249
The Trump campaign only asked that Biden to release his list of potential Supreme Court nominees after Justice Ruth Bader Ginsburg passed away.,False,averitec_250
Trump campaign asked Joe Biden to release a list of potential Supreme Court picks only after Ginsburg’s passing,False,averitec_251
The family or Justine Damond received a $55 million settlement after she was gunned down by a Minneapolis police officer.,False,averitec_252
Flu shot is 2.4x more deadly than Covid-19.,False,averitec_253
MPs are not following workplace Covid guidance by wearing masks.,False,averitec_254
You could text RBG to 50409 to sign a petition to tell your senator not to replace Ruth Bader Ginsberg in the Supreme court until after the 2020 election,True,averitec_255
A man died in police custody after a 19th September 2020 anti-lockdown protest in London.,False,averitec_256
Melissa Francis is married to Wray Thorn.,True,averitec_257
Two Sigma Investments is owned by George Soros.,False,averitec_258
Zimbabwe recorded its first coronavirus Infection before 20 February 2020.,False,averitec_259
"Photo Showing the remains of Vladimir Komarov, a man who fell from space, in 1967.",True,averitec_260
Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.,False,averitec_261
Sightway Capital is owned by Two Sigma Investments.,True,averitec_262
"US Supreme Court Justice, Ruth Bader Ginsburg, fought cancer for decades before she passed away in September 2020.",True,averitec_263
Wray Thorn is managing director of Sightway Capital.,True,averitec_264
"Supreme Court Justice Ruth Bader Ginsburg said, “Pedophilia is good for the children.”",False,averitec_265
John Cammo was the only one to predict that President Trump would be infected with Covid-19.,False,averitec_266
"English Playwright William Shakespeare’s plays are the work of Amelia Bassano, a black woman who died unpublished and in poverty.",False,averitec_267
The passing of Ruth Bader Ginsburg will have a profound effect on the future of the Supreme Court of America.,True,averitec_268
The fastest Supreme Court justice ever confirmed in the U.S. was 47 days.,False,averitec_269
Canada would like to reopen the border with the U.S,False,averitec_270
Turkish-backed armed groups did not commit human rights violations in the Syrian conflict,False,averitec_271
Joe Biden would be the first person without an Ivy League degree to be elected president.,False,averitec_272
Nigeria is the leading producer of cassava in Africa and the world.,True,averitec_273
The White House blocked a plan to send facemasks to every household in April 2020.,True,averitec_274
"In 2019, 10 million fell ill from tuberculosis and 1.5 million died but nobody needs to wears a mask for tuberculosis",False,averitec_275
Trump nixes aid for California fires but offers help to Putin for Siberian wildfires.,False,averitec_276
"Donald Trump is in federal court trying to do away with the Affordable Care Act, 100 million people with preexisting conditions like your mom would not have to pay more for their insurance under now.”",True,averitec_277
Joe Biden was the first in his family to go to college.,False,averitec_278
COVID-19 was developed as a bioweapon from a research facility in China.,False,averitec_279
Carlos Gimenez approved a 67% pay raise for himself and increased his own pension.,True,averitec_280
Minneapolis City Council has defunded the police.,False,averitec_281
Ventura County election officials are reducing voting locations in order to limit in-person voter turnout.,True,averitec_282
"Australian politician, Daniel Andrews said “In fact, you’d be surprised at how much can be avoided if people stop insisting on their personal freedoms. Because insisting on human rights is not only selfish, it’s stupid.”",False,averitec_283
"Kim Martin Morrow the CEO of Netflix has just been charged with 15 charges for child pornography and 31,000 files have been found on his personal computers for child porn from ages 8 and as young as toddlers.",False,averitec_284
"Development Control Department of the Abuja Metropolitan Management Council (AMMC), an agency of the Federal Capital Territory Administration (FCTA)of Nigeria, in 2020 marked 37 Estates for demolition.",False,averitec_285
The US government has plans to force a COVID-19 vaccine on everyone.,False,averitec_286
"In India, actor Kangana Ranaut was forced to vote for the Shiv Sena in the elections as they were in alliance with the Bharatiya Janata Party (BJP).",False,averitec_287
A US voter can vote 4 times because he got 4 vote by mail forms.,False,averitec_288
Crime has increased in Minneapolis in 2020.,True,averitec_289
"A Democratic Vice Presidential nominee, Kamala Harris, said that there will be ""a federal tax on your home for slavery reparations.""",False,averitec_290
Actor Mukesh Khanna has called for a boycott of Jaya and Amitabh Bachchan.,False,averitec_291
"A 6 year old boy begged God to save his mother's life after she was ambushed. Today the NFL honored the organization that yelled ""hope they die"" outside the mothers hospital.",False,averitec_292
Muslim regiment of the Indian Army had refused to fight in India’s 1965 war with Pakistan.,False,averitec_293
Fact Check: AARP Did NOT Spend 'Millions In TV Ads Targeting Republican Candidates' -- Nonprofit AARP Is Prohibited From Involvement In Any Political Campaigns,True,averitec_294
McDonald’s take down American flags at their fast-food restaurants in support of Black Lives Matter and antifa (an umbrella term for far-left anti-fascism groups).,False,averitec_295
A Rafale Aircraft crashed during training and two pilots are dead.,False,averitec_296
"The Indian UPSC examination is discriminatory in favour of Muslim candidates.(Sudarshan News Editor-in-Chief, Suresh Chavhanke, 11 September, 2020, UPSC Jihad Par Ab Tak Ka Sabse Bada Khulasa (The Biggest Expose of All Time on UPSC Jihad)",False,averitec_297
