claim,label,claim_id
Dan Brown rocketed to the top of the bestseller list with The Da Vinci Code.,True,creak_129
Many persons who stay in Varna speaks Bulgarian.,True,creak_130
The President of India stopped COVID-19 before mass sickness in his country.,False,creak_131
Boa constrictors serve as a source of food for most people.,False,creak_132
The Ashes may be won by only good teams.,True,creak_133
One can listen to the Beauty and the Beast music on Youtube.,True,creak_134
George Armstrong Custer fought in the American Indian Wars.,True,creak_135
Nutritionists recommend feeding your child nothing but dessert for the first three years of their life.,False,creak_136
Badminton requires use of a baseball bat and mitt.,False,creak_137
A kiln can double as a convection oven and be used to cook traditional dishes of the Ahurveh tribe of coastal Sudan.,False,creak_138
The Fairly OddParents had to eat magic beans in order to fulfill their children's wishes.,False,creak_139
Beauty and the Beast features a clownfish trying to find his mom.,False,creak_140
The Sahrawi Arab Democratic Republic controls a portion of the Western Sahara.,True,creak_141
Professional boxing requires no practice or skill.,False,creak_142
Someone ate a meatball at the Italian restaurant.,True,creak_143
A nun will usually exercise leadership.,False,creak_144
Hard disk drives operate best in extremely hot conditions.,False,creak_145
The Premier of the Soviet Union visited African in 2019.,False,creak_146
"Alicante serves as a port city for Valencia, Spain.",True,creak_147
Peter Sellers intended to be a pilot but ended up as an entertainer in the Royal Air Force instead.,True,creak_148
Bulk carrier are used to ship product across the globe.,True,creak_149
"Gregory Peck hails from the city of San Diego, California.",True,creak_150
Harry Houdini played professional tennis in his late age.,False,creak_151
The Kuril Islands belong to Russia without dispute.,False,creak_152
Western Wall ceases to exist as a religious site.,False,creak_153
J. P. Morgan started his business by loaning money to ship building companies.,False,creak_154
Many people obtained unemployment during the COVID 19 pandemic.,True,creak_155
Many people bike across the Sydney Harbour Bridge cycleway in the morning.,True,creak_156
The vertebral column carries telephone and power lines from house to house.,False,creak_157
President of Ukraine made a lot of money in the box office.,False,creak_158
Alfred helps Superman by being his Butler.,False,creak_159
Satanism worships God as the primary healer.,False,creak_160
Many business owners rely on WordPress to create their websites.,True,creak_161
Eating desserts helps to fight cancer.,False,creak_162
Michael Jordan played basketball at the University of North Carolina.,True,creak_163
Ernst Haeckel publish books that focused on evolutionary biology.,True,creak_164
The Eastern Front experienced a lot of battles and blood.,True,creak_165
A brigadier general ranks as a two star general.,False,creak_166
Beta Israel lives in the heart of the African nation of Ethiopia.,True,creak_167
Paul Allen clothing line is trendy.,False,creak_168
Due to vaccinations Smallpox has been completely eradicated from the population.,True,creak_169
Starch makes a person die after eating it.,False,creak_170
Hippopotamus eat primarily meat from other animals.,False,creak_171
Railroad engineer are part of a rapidly growing field.,False,creak_172
The Statue of Freedom can corrode when exposed to air.,True,creak_173
Dance dates back to ancient times across many cultures.,True,creak_174
Edgar Allan Poe wrote short stories in the dark horror genre.,True,creak_175
Children enjoy watching Sesame Street on TV.,True,creak_176
Bryan Adams recorded a lot of rock songs.,True,creak_177
Nancy Pelosi has a career as a junior member of Congress.,False,creak_178
Richard Branson founded the space exploration company Blue Origin.,False,creak_179
"Giving someone a rose is a nice gesture, though not everyone enjoys their smell.",True,creak_180
Mahogany wood furniture has a rich brown hue.,True,creak_181
Margaret Thatcher leads the Government of the United Kingdom.,False,creak_182
Lifeguard mainly prevents drowning accidents in pools.,True,creak_183
Michelangelo painted a lot of different art pieces.,True,creak_184
Jean-Jacques Rousseau played soccer for a living.,False,creak_185
People can watch Sesame Street on HBO Family.,True,creak_186
Meningitis causes seizures in sufferers of the disease.,True,creak_187
The Fleur-de-lis symbolized the British monarchy.,False,creak_188
Muse had several songs that were hits in the US.,True,creak_189
The paternal side of the family of Barack Obama originates from Africa.,True,creak_190
Brussels sprout comes in a form of edible flower.,False,creak_191
Dwyane Wade played basketball for the Miami Heat.,True,creak_192
"The Fifth Amendment to the United States Constitution of the US Constitution contains, among other things, the right to opt out of paying taxes.",False,creak_193
an Official is a person who cooks food.,False,creak_194
"Augusta, Georgia has many deserts to walk around.",False,creak_195
Edgar Allan Poe continues to publish short stories today.,False,creak_196
"Myth and superstition explode rationalism, proving that it is wrong.",False,creak_197
Laurence Fishburne led the New York Knicks in a comeback victory.,False,creak_198
Many people own a walrus as a house pet.,False,creak_199
Bret Hart boxed for two decades.,False,creak_200
"You can prepare soup by combining usually vegetables with stock, milk or water.",True,creak_201
Laurence Fishburne starred in the film the Matrix.,True,creak_202
One can listen to music on ITunes.,True,creak_203
Willow bark intensifies fever and makes it worse.,False,creak_204
Jonathan Swift attended Trinity College in Dublin.,True,creak_205
Soup exists in hot or cold cuisines.,True,creak_206
Only people in Japan drive Nissan cars.,False,creak_207
The Sound of Music won the Tony Award for Best Drama.,False,creak_208
The Fairly OddParents follows a boy named Timmy as he navigates life with his fairy godparents.,False,creak_209
A snake can move freely because it has no bones.,False,creak_210
The Reserve Bank of India serves the Native American Indians.,False,creak_211
The Apollo astronauts went to the moon as part of a spaceflight program.,True,creak_212
Freedom of speech protects death threats in the USA.,False,creak_213
People visit Lake Tahoe only to find gold.,False,creak_214
Whole Foods Market sells nutritious organic food in the US.,True,creak_215
The pancreas produces milk in the body.,False,creak_216
"Bugs Bunny sold by United States to France, broke many records for highest sale of any franchise.",False,creak_217
Art Blakey helped produce music as a jazz drummer.,True,creak_218
Dissociative identity disorder can not be diagnosed.,False,creak_219
Final Fantasy's first game was Final Fantasy XI.,False,creak_220
Lip injections are more popular amongst men than women.,False,creak_221
Many citizens despised of the time Louis XVI of France.,True,creak_222
Current leaders of Russia can look to Dmitry Medvedev for advice.,True,creak_223
Ray Charles went blind in his childhood from glaucoma.,True,creak_224
"The family of Barack Obama involves African-American President of the US, Barack Obama, and the family he has created with his wife, Michelle.",True,creak_225
Dutch people originate in the Netherlands.,True,creak_226
Scurvy often affects people who eat a lot of fruit.,False,creak_227
The woman who had acro phobia wanted to live on the 50th floor of her building.,False,creak_228
Metallica sings the hit song enter sandman.,True,creak_229
Boyle's law relates the pressure of a gas to its volume.,True,creak_230
Howard Hughes was among the first people to use the aileron.,False,creak_231
The 1984 United States presidential election was the year Ronald Reagan got elected.,True,creak_232
Popeye met up with Donald Duck and Mickey Mouse.,False,creak_233
Richard Linklater won the Golden Globe Awards.,True,creak_234
A hamster can grow to over twenty pounds in weight.,False,creak_235
The Daytona 500 typically is 500 laps.,False,creak_236
Louis C.K. discovered the Covid Vaccine.,False,creak_237
The walrus lives in a wide range of the world's oceans.,True,creak_238
Battle of the Little Bighorn happened in June.,True,creak_239
You can see that the television program Malcolm in the Middle won a Peabody Award.,True,creak_240
Nancy Pelosi has a career as an American politician.,True,creak_241
Abstract art emanates ancient and traditional themes.,False,creak_242
RoboCop does not have any cops in it.,False,creak_243
Pope Gregory VII released his best song in 2015.,False,creak_244
The gray fox eats to survive.,True,creak_245
The Wonderful Wizard of Oz starts off in Texas.,False,creak_246
Parkinson's disease has multiple risk factors.,True,creak_247
Carrots are grown in trees and bushes.,False,creak_248
A general manager talks to the employees about their at home problems for the job.,False,creak_249
Wilhelm Wundt became a distinguished psychology professor in Germany.,True,creak_250
The Arctic Ocean smells cleaner than the Pacific and the Atlantic due to the colder water temperatures.,False,creak_251
Mixing blue and yellow creates green.,True,creak_252
Pearl Harbor had such an impact on American history that kids today are still learning about the event.,True,creak_253
Crane fly existed among some dinosaurs.,True,creak_254
The pandemic has caused a lot of unemployment.,True,creak_255
Northeast China largest ethnic group are Muslims.,False,creak_256
Robert De Niro acted in many different films.,True,creak_257
"People either know Tim McGraw by having listened to his music, watching him on TV, or familiarity with his wife, Faith Hill.",True,creak_258
The Curse of the Bambino began when Babe Ruth was traded to the Yankees.,True,creak_259
Docklands Stadium hosts water polo and diving competitions.,False,creak_260
Victoria Beckham plays soccer at the professional level.,False,creak_261
Kid the Wiz made an album called The Wonderful Wizard of Oz.,False,creak_262
"Little Women, a Louisa May Alcott novel, has been recreated on film and on stage.",True,creak_263
Chicken pox turns into smallpox after treatment.,False,creak_264
Some students major in physics at the University of Cambridge.,True,creak_265
Lenin was the first Premier of the Soviet Union.,True,creak_266
The food known as dosa often are served with Indian dishes.,True,creak_267
Paula Deen shows off her skills on Food Network.,True,creak_268
Harry Houdini made a career out of being a magician.,True,creak_269
Quite a number of homes are located in Townsville.,True,creak_270
The Druze serve as the main Christian group in Lebanon.,False,creak_271
An ape enjoys climbing trees and eating bananas.,True,creak_272
The attack on Pearl Harbor took place in 1941.,True,creak_273
The Offspring sometimes performs their songs during Opera intermissions.,False,creak_274
Professional boxing ceases to exists as a fighting sport now.,False,creak_275
If a supervillain is not in a movie then the movie cannot be made.,False,creak_276
Laurence Fishburne knows how to breath underwater.,False,creak_277
The instructional manual for the Army's new canon is called canon law.,False,creak_278
Epcot resides in Georgia and is home to many different farm animals.,False,creak_279
Watchmen plays on HBO as a new show with Regina King.,True,creak_280
RoboCop annihilates the bad guys and their helpers.,True,creak_281
Microsoft helped Nintendo build the Nintendo DS Lite.,False,creak_282
Quark served the man a drink on Star Trek: Deep Space Nine.,True,creak_283
Robert Downey Jr. won two Golden Globes.,True,creak_284
Little children play in Minor League Baseball.,False,creak_285
Alanis Morissette won the Juno award for video of the year.,True,creak_286
Boyle's law correlates pressure and volume of a gas.,True,creak_287
Dwyane Wade scored 100 goals in the MLS.,False,creak_288
WordPress has won various software awards.,True,creak_289
Echinacea strikes a person dead after one dose.,False,creak_290
Recycling and environmental conservation is not something Robert Redford cares about.,False,creak_291
Ultra-high-definition television has clearer picture than standard definition TV.,True,creak_292
The London Symphony Orchestra has popular rock songs.,False,creak_293
Higher education means high school level education.,False,creak_294
Out of the days in a week Wednesday Is the Halfway point in a week known as Hump day .,True,creak_295
The Three Stooges released a series of comedy movies.,True,creak_296
Posttraumatic stress disorder make life easier for people.,False,creak_297
Sometimes pools will have a porch floating in it for for people to relax on.,False,creak_298
The president gave his speech in pig latin.,False,creak_299
